Experiment_ID,accession,isolate,tissue,score
Rhizome-AMP20,BTx623,AMP20,leaf,5
Rhizome-AMP20,BTx623,AMP20,leaf,4
Rhizome-AMP20,BTx623,AMP20,leaf,4
Rhizome-AMP20,BTx623,AMP20,leaf,3
Rhizome-AMP20,BTx623,AMP20,leaf,3
Rhizome-AMP20,BTx623,AMP20,leaf,4
Rhizome-AMP20,BTx623,AMP20,leaf,2
Rhizome-AMP20,BTx623,AMP20,leaf,4
Rhizome-AMP20,BTx623,AMP20,leaf,2
Rhizome-AMP20,SC748-5,AMP20,leaf,3
Rhizome-AMP20,SC748-5,AMP20,leaf,2
Rhizome-AMP20,SC748-5,AMP20,leaf,1
Rhizome-AMP20,SC748-5,AMP20,leaf,1
Rhizome-AMP20,SC748-5,AMP20,leaf,1
Rhizome-AMP20,SC748-5,AMP20,leaf,1
Rhizome-AMP20,SC748-5,AMP20,leaf,4
Rhizome-AMP20,SC748-5,AMP20,leaf,1
Rhizome-AMP20,SC748-5,AMP20,leaf,1
Rhizome-AMP20,SH1030,AMP20,leaf,1
Rhizome-AMP20,SH1030,AMP20,leaf,4
Rhizome-AMP20,SH1030,AMP20,leaf,2
Rhizome-AMP20,SH1030,AMP20,leaf,5
Rhizome-AMP20,SH1030,AMP20,leaf,5
Rhizome-AMP20,SH1030,AMP20,leaf,1
Rhizome-AMP20,SH1030,AMP20,leaf,4
Rhizome-AMP20,SH1030,AMP20,leaf,1
Rhizome-AMP20,SH1030,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,3
Rhizome-AMP20,SH1094,AMP20,leaf,1
Rhizome-AMP20,SH1094,AMP20,leaf,2
Rhizome-AMP20,SH1136,AMP20,leaf,2
Rhizome-AMP20,SH1136,AMP20,leaf,1
Rhizome-AMP20,SH1136,AMP20,leaf,4
Rhizome-AMP20,SH1136,AMP20,leaf,2
Rhizome-AMP20,SH1136,AMP20,leaf,5
Rhizome-AMP20,SH1136,AMP20,leaf,1
Rhizome-AMP20,SH1136,AMP20,leaf,4
Rhizome-AMP20,SH1136,AMP20,leaf,5
Rhizome-AMP20,SH1136,AMP20,leaf,4
Rhizome-AMP20,SH1152,AMP20,leaf,1
Rhizome-AMP20,SH1152,AMP20,leaf,1
Rhizome-AMP20,SH1152,AMP20,leaf,2
Rhizome-AMP20,SH1152,AMP20,leaf,1
Rhizome-AMP20,SH1152,AMP20,leaf,1
Rhizome-AMP20,SH1152,AMP20,leaf,2
Rhizome-AMP20,SH1152,AMP20,leaf,1
Rhizome-AMP20,SH1152,AMP20,leaf,2
Rhizome-AMP20,SH1152,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,4
Rhizome-AMP20,SH1229,AMP20,leaf,3
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1229,AMP20,leaf,1
Rhizome-AMP20,SH1247,AMP20,leaf,5
Rhizome-AMP20,SH1247,AMP20,leaf,2
Rhizome-AMP20,SH1247,AMP20,leaf,5
Rhizome-AMP20,SH1247,AMP20,leaf,1
Rhizome-AMP20,SH1247,AMP20,leaf,5
Rhizome-AMP20,SH1247,AMP20,leaf,2
Rhizome-AMP20,SH1247,AMP20,leaf,2
Rhizome-AMP20,SH1247,AMP20,leaf,5
Rhizome-AMP20,SH1247,AMP20,leaf,3
Rhizome-AMP20,SH1337,AMP20,leaf,1
Rhizome-AMP20,SH1337,AMP20,leaf,2
Rhizome-AMP20,SH1337,AMP20,leaf,1
Rhizome-AMP20,SH1337,AMP20,leaf,3
Rhizome-AMP20,SH1337,AMP20,leaf,3
Rhizome-AMP20,SH1337,AMP20,leaf,2
Rhizome-AMP20,SH1337,AMP20,leaf,1
Rhizome-AMP20,SH1337,AMP20,leaf,1
Rhizome-AMP20,SH1337,AMP20,leaf,1
Rhizome-AMP20,SH1450,AMP20,leaf,4
Rhizome-AMP20,SH1450,AMP20,leaf,3
Rhizome-AMP20,SH1450,AMP20,leaf,2
Rhizome-AMP20,SH1450,AMP20,leaf,1
Rhizome-AMP20,SH1450,AMP20,leaf,5
Rhizome-AMP20,SH1450,AMP20,leaf,1
Rhizome-AMP20,SH1450,AMP20,leaf,2
Rhizome-AMP20,SH1450,AMP20,leaf,5
Rhizome-AMP20,SH1450,AMP20,leaf,1
Rhizome-AMP20,SH1484,AMP20,leaf,1
Rhizome-AMP20,SH1484,AMP20,leaf,2
Rhizome-AMP20,SH1484,AMP20,leaf,1
Rhizome-AMP20,SH1484,AMP20,leaf,2
Rhizome-AMP20,SH1484,AMP20,leaf,2
Rhizome-AMP20,SH1484,AMP20,leaf,2
Rhizome-AMP20,SH1484,AMP20,leaf,2
Rhizome-AMP20,SH1484,AMP20,leaf,3
Rhizome-AMP20,SH1484,AMP20,leaf,2
Rhizome-AMP20,SH1030,AMP20,rhizome,2
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1030,AMP20,rhizome,5
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1030,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1094,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1136,AMP20,rhizome,2
Rhizome-AMP20,SH1136,AMP20,rhizome,2
Rhizome-AMP20,SH1136,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,2
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1152,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,2
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,2
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1229,AMP20,rhizome,1
Rhizome-AMP20,SH1247,AMP20,rhizome,3
Rhizome-AMP20,SH1247,AMP20,rhizome,5
Rhizome-AMP20,SH1247,AMP20,rhizome,5
Rhizome-AMP20,SH1247,AMP20,rhizome,1
Rhizome-AMP20,SH1247,AMP20,rhizome,1
Rhizome-AMP20,SH1247,AMP20,rhizome,1
Rhizome-AMP20,SH1247,AMP20,rhizome,4
Rhizome-AMP20,SH1247,AMP20,rhizome,1
Rhizome-AMP20,SH1247,AMP20,rhizome,4
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1337,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1450,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,2
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,2
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP20,SH1484,AMP20,rhizome,1
Rhizome-AMP27,BTx623,AMP27,leaf,4
Rhizome-AMP27,BTx623,AMP27,leaf,2
Rhizome-AMP27,BTx623,AMP27,leaf,1
Rhizome-AMP27,BTx623,AMP27,leaf,3
Rhizome-AMP27,BTx623,AMP27,leaf,1
Rhizome-AMP27,BTx623,AMP27,leaf,4
Rhizome-AMP27,BTx623,AMP27,leaf,4
Rhizome-AMP27,BTx623,AMP27,leaf,1
Rhizome-AMP27,BTx623,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SC748-5,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,2
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,3
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1094,AMP27,leaf,1
Rhizome-AMP27,SH1136,AMP27,leaf,5
Rhizome-AMP27,SH1136,AMP27,leaf,5
Rhizome-AMP27,SH1136,AMP27,leaf,1
Rhizome-AMP27,SH1136,AMP27,leaf,1
Rhizome-AMP27,SH1136,AMP27,leaf,5
Rhizome-AMP27,SH1136,AMP27,leaf,4
Rhizome-AMP27,SH1136,AMP27,leaf,1
Rhizome-AMP27,SH1136,AMP27,leaf,1
Rhizome-AMP27,SH1136,AMP27,leaf,5
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,2
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1152,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,3
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,2
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1229,AMP27,leaf,1
Rhizome-AMP27,SH1247,AMP27,leaf,1
Rhizome-AMP27,SH1247,AMP27,leaf,1
Rhizome-AMP27,SH1247,AMP27,leaf,1
Rhizome-AMP27,SH1247,AMP27,leaf,2
Rhizome-AMP27,SH1247,AMP27,leaf,5
Rhizome-AMP27,SH1247,AMP27,leaf,1
Rhizome-AMP27,SH1247,AMP27,leaf,2
Rhizome-AMP27,SH1247,AMP27,leaf,1
Rhizome-AMP27,SH1247,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,2
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,2
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1337,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,2
Rhizome-AMP27,SH1450,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,2
Rhizome-AMP27,SH1450,AMP27,leaf,1
Rhizome-AMP27,SH1450,AMP27,leaf,2
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
