Experiment_ID,accession,isolate,tissue,score
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1484,AMP27,leaf,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1030,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1094,AMP27,rhizome,1
Rhizome-AMP27,SH1136,AMP27,rhizome,1
Rhizome-AMP27,SH1136,AMP27,rhizome,1
Rhizome-AMP27,SH1136,AMP27,rhizome,1
Rhizome-AMP27,SH1136,AMP27,rhizome,4
Rhizome-AMP27,SH1136,AMP27,rhizome,5
Rhizome-AMP27,SH1136,AMP27,rhizome,1
Rhizome-AMP27,SH1136,AMP27,rhizome,5
Rhizome-AMP27,SH1136,AMP27,rhizome,1
Rhizome-AMP27,SH1136,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1152,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1229,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,2
Rhizome-AMP27,SH1247,AMP27,rhizome,1
Rhizome-AMP27,SH1247,AMP27,rhizome,3
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,2
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1337,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,1
Rhizome-AMP27,SH1450,AMP27,rhizome,3
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP27,SH1484,AMP27,rhizome,1
Rhizome-AMP77,BTx623,AMP77,leaf,2
Rhizome-AMP77,BTx623,AMP77,leaf,2
Rhizome-AMP77,BTx623,AMP77,leaf,2
Rhizome-AMP77,BTx623,AMP77,leaf,1
Rhizome-AMP77,BTx623,AMP77,leaf,2
Rhizome-AMP77,BTx623,AMP77,leaf,2
Rhizome-AMP77,BTx623,AMP77,leaf,3
Rhizome-AMP77,BTx623,AMP77,leaf,2
Rhizome-AMP77,BTx623,AMP77,leaf,3
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,2
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SC748-5,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,2
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1030,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,2
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1094,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,1
Rhizome-AMP77,SH1136,AMP77,leaf,2
Rhizome-AMP77,SH1136,AMP77,leaf,2
Rhizome-AMP77,SH1152,AMP77,leaf,1
Rhizome-AMP77,SH1152,AMP77,leaf,1
Rhizome-AMP77,SH1152,AMP77,leaf,1
Rhizome-AMP77,SH1152,AMP77,leaf,2
Rhizome-AMP77,SH1152,AMP77,leaf,2
Rhizome-AMP77,SH1152,AMP77,leaf,1
Rhizome-AMP77,SH1152,AMP77,leaf,1
Rhizome-AMP77,SH1152,AMP77,leaf,1
Rhizome-AMP77,SH1152,AMP77,leaf,2
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,1
Rhizome-AMP77,SH1229,AMP77,leaf,2
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1247,AMP77,leaf,2
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1247,AMP77,leaf,2
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1247,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,2
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1337,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,2
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1450,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,1
Rhizome-AMP77,SH1484,AMP77,leaf,2
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1030,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,2
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,2
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1094,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1136,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1152,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,2
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1229,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,5
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1247,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,2
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1337,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1450,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,2
Rhizome-AMP77,SH1484,AMP77,rhizome,2
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
Rhizome-AMP77,SH1484,AMP77,rhizome,1
